"created_at","Product","Cost","Home","Bill Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/04/2014","widerwindow",11.99,0,"Health Ins",51.5,0,0,0,0,0,0,22,0,6.17,91.66
"02/04/2014","Luggage",120,0,"nill",0,0,0,0,0,0,0,22,0,6.17,148.17
"03/04/2014","me Tshirt",44,0,"nill",0,0,0,16.5,0,0,0,22,0,6.17,88.67
"04/04/2014","Wedding BD",144,0,"Optus",119.5,0,0,0,0,0,0,22,0,6.17,291.67
"05/04/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"06/04/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"07/04/2014","nill",0,0,"nill",0,120,0,0,0,792,0,24,0,6.17,942.17
"08/04/2014","Jamal Mama",500,0,"nill",0,50,0,0,0,0,91,22,0,6.17,669.17
"09/04/2014","nill",0,0,"Lawn Mow",50,0,110,0,100,0,0,24,0,6.17,290.17
"10/04/2014","nill",0,0,"nill",0,0,0,0,0,0,0,24,0,6.17,30.17
"11/04/2014","BD Medicine",155.5,0,"nill",0,0,282.61,0,0,0,0,24,0,6.17,468.28
"12/04/2014","Luggage",181.35,30,"nill",0,0,0,0,0,0,0,0,0,0,211.35
"13/04/2014","BD",49,0,"nill",0,0,0,0,0,0,4.6,0,0,0,53.6
"14/04/2014","BD Gift",50,0,"nill",0,0,0,0,0,792,0,18,0,6.17,866.17
"15/04/2014","BD Ticket",2100,0,"nill",0,0,0,0,0,0,0,24,0,6.17,2130.17
"16/04/2014","nill",0,0,"nill",0,0,0,0,0,0,0,24,0,6.17,30.17
"17/04/2014","nill",0,0,"nill",0,0,0,0,0,0,0,24,0,6.17,30.17
"18/04/2014","lia melb",50,0,"nill",0,0,0,0,0,0,0,0,0,0,50
"19/04/2014","nill",0,0,"telstra",26,0,0,0,0,0,0,0,0,0,26
"20/04/2014","nill",0,0,"nill",0,0,0,16,0,0,0,0,0,0,16
"21/04/2014","BD Medicine",20,0,"nill",0,0,40,0,81.14,792,0,0,0,0,933.14
"22/04/2014","Me Med",28,0,"nill",0,0,0,0,0,0,0,24,0,6.17,58.17
"23/04/2014","Melbourne Trip",1020,0,"Electricity",330.42,0,0,0,0,0,91.3,24,0,6.17,1471.89
"24/04/2014","Singapore Hotel",235.87,0,"Home Insurance",72,0,50,0,0,0,0,24,0,6.17,388.04
"25/04/2014","IPAD bd",500,0,"nill",0,0,147,0,0,0,0,0,0,0,647
"26/04/2014","Wedding Watch",626,0,"Internet",99,0,16,0,18,0,0,0,0,0,759
"27/04/2014","BD Gift",140,0,"nill",0,0,0,0,0,0,0,0,0,0,140
"28/04/2014","Kmart",22,0,"Gas Bill",115.66,0,0,35,0,792,0,24,0,12.34,1001
"29/04/2014","bd medicine",59,0,"nill",0,0,0,21,22,0,0,14,0,6.17,122.17
"30/04/2014","nill",0,0,"nill",0,0,0,0,0,0,0,24,0,6.17,30.17
