"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/08/2014","me medicinie",28,0,"nill",0,0,0,60,133,0,0,20,0,6.17,247.17
"02/08/2014","nill",0,0,"Health INSU",52,0,0,0,0,0,0,0,0,0,52
"03/08/2014","Pillow",0,190,"nill",0,0,0,0,38.7,0,0,0,0,0,228.7
"04/08/2014","nill",0,0,"Optus",80.39,0,0,0,0,791,0,10,0,6.23,887.62
"05/08/2014","Google",5.39,0,"nill",0,0,0,0,0,0,90,10,0,6.23,111.62
"06/08/2014","Lia Passport",244,0,"nill",0,0,0,0,0,0,0,10,0,6.23,260.23
"07/08/2014","nill",0,0,"nill",0,160,0,0,0,0,0,10,0,6.23,176.23
"08/08/2014","nill",0,0,"nill",0,0,0,0,38,0,0,30,0,6.23,74.23
"09/08/2014","nill",0,0,"nill",0,0,12.15,0,0,0,0,0,0,0,12.15
"10/08/2014","nill",0,30,"nill",0,0,0,0,0,0,0,0,0,0,30
"11/08/2014","nill",0,0,"nill",0,135.77,0,0,0,791,0,30,0,6.23,963
"12/08/2014","nill",0,0,"nill",0,0,0,0,0,0,0,25,0,6.23,31.23
"13/08/2014","nill",0,0,"Lawn",30,0,0,0,0,0,0,25,0,6.23,61.23
"14/08/2014","me Shirt",47,28,"nill",0,0,27,0,0,0,0,25,0,6.23,133.23
"15/08/2014","nill",0,0,"nill",0,0,0,0,0,0,0,25,0,6.23,31.23
"16/08/2014","nill",0,0,"nill",0,0,70,0,0,0,92,0,0,0,162
"17/08/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"18/08/2014","nill",0,0,"Telstra",22,0,0,0,0,791,0,24,0,6.23,843.23
"19/08/2014","Sunny Baby",25,0,"nill",0,0,64,0,0,0,0,16,0,6.23,111.23
"20/08/2014","nill",0,0,"nill",0,0,0,0,0,0,0,25,0,6.23,31.23
"21/08/2014","nill",0,0,"nill",0,0,0,0,0,0,0,25,0,6.23,31.23
"22/08/2014","Lia",100,0,"nill",0,0,0,30,0,0,0,25,0,6.23,161.23
"23/08/2014","plant mart",0,152,"Home Insu",72.47,0,38.1,0,0,0,0,0,0,0,262.57
"24/08/2014","bunnings",0,572,"nill",0,0,0,0,10,0,0,0,0,0,582
"25/08/2014","bunnings",0,218,"internet",99,0,0,0,0,791,0,25,0,6.23,1139.23
"26/08/2014","lia dress",100,0,"nill",0,0,0,0,0,0,0,25,0,6.23,131.23
"27/08/2014","nill",0,0,"nill",0,0,0,0,100,0,89.17,25,0,6.23,220.4
"28/08/2014","nill",0,0,"Rates",372,0,39.17,0,0,0,0,25,0,6.23,442.4
"29/08/2014","nill",0,0,"nill",0,0,0,0,0,0,0,25,0,6.23,31.23
"30/08/2014","nill",0,0,"nill",0,0,108,0,0,0,0,0,0,0,108
"31/08/2014","nill",0,0,"nill",0,0,0,0,14,0,0,0,0,0,14
