"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/12/2014","nill",0,0,"Health INSU",51.5,0,0,0,0,791,0,24,0,6.29,872.79
"02/12/2014","Bunnings",0,149,"nill",0,0,0,20,30,0,0,24,0,6.29,229.29
"03/12/2014","nill",0,0,"nill",0,0,0,0,0,0,0,17,0,6.29,23.29
"04/12/2014","nill",0,0,"Optus",120,0,0,0,0,0,0,24,0,6.29,150.29
"05/12/2014","nill",0,0,"nill",0,0,0,0,0,0,0,17,0,6.29,23.29
"06/12/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"07/12/2014","nill",0,0,"nill",0,0,39,0,114.28,0,84.64,0,0,0,237.92
"08/12/2014","nill",0,0,"nill",0,0,0,0,0,791,0,17,0,6.29,814.29
"09/12/2014","nill",0,0,"nill",0,0,0,0,25.71,0,0,17,0,6.29,49
"10/12/2014","nill",0,0,"nill",0,0,0,0,0,0,0,17,0,6.29,23.29
"11/12/2014","nill",0,0,"Lawn",55,0,0,0,0,0,0,24,0,6.29,85.29
"12/12/2014","nill",0,0,"Water bill",351,0,0,0,0,0,0,24,0,6.29,381.29
"13/12/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"14/12/2014","Kmart",0,58,"nill",0,0,0,0,133.79,0,0,0,0,0,191.79
"15/12/2014","nill",0,0,"nill",0,0,0,0,0,791,0,24,0,6.29,821.29
"16/12/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"17/12/2014","nill",0,0,"Telstra",23.95,0,0,0,0,0,0,24,0,6.29,54.24
"18/12/2014","nill",0,0,"nill",0,500,48,0,0,0,0,24,0,12.58,584.58
"19/12/2014","nill",0,0,"nill",0,0,22,0,0,0,78,24,0,6.29,130.29
"20/12/2014","Movie",0,0,"nill",0,0,45,0,0,0,0,0,0,0,45
"21/12/2014","swiming",26,0,"nill",0,0,0,0,45.67,0,0,0,0,0,71.67
"22/12/2014","Ikea",0,406,"nill",0,40,0,0,0,791,0,24,0,6.29,1267.29
"23/12/2014","Bunnings",0,71,"nill",0,0,0,0,0,0,0,24,0,6.29,101.29
"24/12/2014","LG watch",343,0,"nill",0,0,0,0,0,0,0,17,0,6.29,366.29
"25/12/2014","me countryRoad",99,0,"internet",99,0,0,0,0,0,0,0,0,0,198
"26/12/2014","lia shopping",200,0,"nill",0,0,116,30,0,0,0,0,0,0,346
"27/12/2014","Kmart",0,145,"nill",0,0,174,0,161,0,0,0,0,0,480
"28/12/2014","nill",0,0,"nill",0,0,0,0,182.32,0,0,0,0,0,182.32
"29/12/2014","Target",0,48,"Lawn",35,0,0,0,56,791,0,0,0,0,930
"30/12/2014","fireworks",174,0,"viber",6,0,194,0,0,0,0,0,0,0,374
"31/12/2014","fireworks travel",60,0,"nill",0,0,0,0,0,0,73.8,0,0,0,133.8
