"created_at","Product","Cost","Home","Bill Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/02/2014","lia",30,0,"nill",0,0,0,0,0,0,102,0,0,0,132
"02/02/2014","lia",20,0,"Health Insurance",48.5,0,0,0,130,0,0,0,0,0,198.5
"03/02/2014","payTag",2.99,0,"Food",36,0,0,0,0,791,0,22,0,6.11,858.1
"04/02/2014","nill",0,0,"nill",0,0,0,0,30,0,0,22,0,6.11,58.11
"05/02/2014","nill",0,0,"Optus",119.49,0,0,0,0,0,0,22,0,6.11,147.6
"06/02/2014","Gift",100,0,"nill",0,0,0,0,0,0,0,22,0,6.11,128.11
"07/02/2014","lia city",60,0,"nill",0,120,30,0,0,0,0,0,0,0,210
"08/02/2014","lia party",90,0,"nill",0,0,0,0,0,0,0,0,0,0,90
"09/02/2014","univ",68.5,0,"nill",0,0,0,15,0,0,102,0,0,0,185.5
"10/02/2014","lia sunglass",150,0,"Food",38,0,0,0,0,791,0,22,0,6.11,1007.11
"11/02/2014","lia citizenship",250,0,"nill",0,0,0,0,0,0,0,22,0,6.11,278.11
"12/02/2014","lia kamij",150,0,"nill",0,0,0,0,0,0,0,22,0,6.11,178.11
"13/02/2014","me medicine ",52,0,"nill",0,0,0,0,0,0,0,22,0,6.11,80.11
"14/02/2014","lia perfume",80,0,"nill",0,0,0,46,100,0,0,18,0,6.11,250.11
"15/02/2014","Bed_side_lamp",0,260,"nill",0,0,40,0,0,0,0,0,0,0,300
"16/02/2014","office works",0,25,"nill",0,0,0,0,0,0,0,0,0,0,25
"17/02/2014","nill",0,0,"Food",30,0,0,0,0,791,0,22,0,6.11,849.11
"18/02/2014","nill",0,0,"Telstra",26,0,0,0,0,0,0,22,0,6.11,54.11
"19/02/2014","nill",0,0,"Lawn Mow",30,0,0,0,0,0,0,20,0,6.11,56.11
"20/02/2014","nill",0,0,"nill",0,0,0,0,0,0,0,20,0,6.11,26.11
"21/02/2014","nill",0,0,"nill",0,0,0,54,0,0,106,20,0,6.11,186.11
"22/02/2014","nill",0,0,"nill",0,0,37,0,0,0,0,0,0,0,37
"23/02/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"24/02/2014","nill",0,0,"nill",0,0,0,0,17,791,0,20,0,6.11,834.11
"25/02/2014","nill",0,0,"Home Insurance",72.47,0,0,0,42,0,0,20,0,6.11,140.58
"26/02/2014","Holiday",466,0,"Internet",99.95,0,0,0,0,0,0,20,0,6.11,592.06
"27/02/2014","nill",0,0,"Parking Ticket",340,0,0,0,20,0,0,20,0,6.11,386.11
"28/02/2014","Lia shopping",50,0,"Council Rates",249,0,0,0,0,0,0,0,0,0,299
