"created_at","Product","Cost","Home","Bill Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/01/2014","UNIV",167,0,"nill",0,0,0,0,0,0,100,0,0,0,267
"02/01/2014","ANIV",94.5,0,"nill",0,0,0,0,0,0,0,22,0,6.11,122.61
"03/01/2014","nill",0,0,"nill",0,0,0,0,0,0,0,22,0,6.11,28.11
"04/01/2014","nill",0,0,"Health Insurence",48,0,51,0,0,0,0,0,0,0,99
"05/01/2014","nill",0,0,"nill",0,0,0,0,130,0,0,0,0,0,130
"06/01/2014","nill",0,0,"nill",0,0,0,0,0,791.5,0,22,0,6.11,819.61
"07/01/2014","nill",0,0,"Optus",119.49,120,0,14.5,53,0,0,22,0,6.11,335.1
"08/01/2014","nill",0,0,"Lawn Mowing",30,0,0,0,0,0,0,22,0,6.11,58.11
"09/01/2014","nill",0,0,"Citi Annual Fee",199,0,0,0,0,0,0,22,0,6.11,227.11
"10/01/2014","nill",0,0,"nill",0,0,0,0,0,0,0,22,0,6.11,28.11
"11/01/2014","Aniv dinner",234,0,"nill",0,0,0,0,15,0,0,0,0,0,249
"12/01/2014","BBq",97,0,"nill",0,0,0,0,75,0,91,0,0,0,263
"13/01/2014","nill",0,0,"nill",0,0,0,0,0,791.5,0,22,0,6.11,819.61
"14/01/2014","nill",0,0,"Food_order",30,0,0,0,0,0,0,22,0,6.11,58.11
"15/01/2014","nill",0,0,"Gas Bill",132,0,0,0,0,0,0,22,0,6.11,160.11
"16/01/2014","nill",0,0,"nill",0,0,0,0,0,0,0,22,0,6.11,28.11
"17/01/2014","nill",0,0,"nill",0,0,95,0,57,0,0,22,0,6.11,180.11
"18/01/2014","me Haircut",27,0,"nill",0,0,0,0,70,0,0,0,0,0,97
"19/01/2014","Lia",30,0,"Telstra",3.8,0,0,0,0,0,0,0,0,0,33.8
"20/01/2014","nill",0,0,"nill",0,0,0,0,0,791.5,0,22,0,6.11,819.61
"21/01/2014","nill",0,0,"nill",0,0,0,0,0,0,0,22,0,6.11,28.11
"22/01/2014","nill",0,0,"Calling Card",20,0,0,0,11,0,0,22,0,6.11,59.11
"23/01/2014","nill",0,0,"Home Insurance",72.49,0,46,18,0,0,100,22,0,6.11,264.6
"24/01/2014","nill",0,0,"Electricity",339.07,0,0,0,0,0,0,22,0,6.11,367.18
"25/01/2014","nill",0,0,"Internet",99,0,60,0,0,0,0,0,0,0,159
"26/01/2014","passport photo",10,0,"Food_order",30,0,0,0,100,0,0,0,0,0,140
"27/01/2014","nill",0,0,"nill",0,0,0,10,0,791.5,0,0,0,0,801.5
"28/01/2014","nill",0,0,"nill",0,0,0,0,0,0,0,22,0,6.11,28.11
"29/01/2014","nill",0,0,"nill",0,0,0,0,0,0,0,22,0,6.11,28.11
"30/01/2014","course",1.99,0,"nill",0,0,0,0,0,0,0,22,0,6.11,30.1
"31/01/2014","Course",4,0,"nill",0,0,0,0,0,0,0,22,0,6.11,32.11
