"created_at","Product","Cost","Home","Bill Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/07/2014","Mama gift",100,0,"nill",0,0,0,0,21,0,0,12,0,6.23,139.23
"02/07/2014","nill",0,0,"Health Cover",52,0,0,0,0,0,0,15,0,6.23,73.23
"03/07/2014","nill",0,0,"Foxtel",57,240,22,0,0,0,0,12,0,6.23,337.23
"04/07/2014","nill",0,0,"Optus",114.49,0,0,0,0,0,92,12,0,6.23,224.72
"05/07/2014","nill",0,0,"nill",0,0,22,0,26,0,0,0,0,0,48
"06/07/2014","Me medicine",18.95,0,"nill",0,0,0,20,63,0,0,0,0,0,101.95
"07/07/2014","nill",0,0,"nill",0,120,0,0,0,791,0,12,0,6.17,929.17
"08/07/2014","nill",0,0,"nill",0,0,0,0,0,0,0,12,0,6.17,18.17
"09/07/2014","Freedom",0,100,"nill",0,0,0,0,0,0,0,12,0,6.17,118.17
"10/07/2014","Bunnings",0,74.28,"nill",0,0,0,0,0,0,0,30,0,6.17,110.45
"11/07/2014","Patil",0,30,"nill",0,0,28.5,0,0,0,0,12,0,6.17,76.67
"12/07/2014","nill",0,0,"nill",0,0,0,0,56,0,0,0,0,0,56
"13/07/2014","nill",0,0,"Viber out",11,0,0,0,0,0,0,0,0,0,11
"14/07/2014","nill",0,0,"nill",0,0,0,0,0,791,0,12,0,6.17,809.17
"15/07/2014","nill",0,0,"nill",0,0,0,0,0,0,0,12,0,6.17,18.17
"16/07/2014","nill",0,0,"Telstra",22.65,0,0,0,0,0,116,21,0,6.17,165.82
"17/07/2014","nill",0,0,"nill",0,0,20,0,0,0,0,22,0,6.17,48.17
"18/07/2014","nill",0,0,"AGL Gas",149.81,0,0,0,0,0,0,22,0,6.17,177.98
"19/07/2014","nill",0,0,"nill",0,0,100,0,0,0,0,0,0,0,100
"20/07/2014","nill",0,0,"nill",0,0,0,0,94,0,0,0,0,0,94
"21/07/2014","Car mobile",7,0,"AGL Elec",353.73,0,0,0,8.19,791,0,22,0,15,1196.92
"22/07/2014","Lia sephora",28,0,"nill",0,0,0,0,0,0,0,0,0,0,28
"23/07/2014","Lia med",19.4,0,"HOME INSU",72.8,0,21.8,0,0,0,0,5,0,6.17,125.17
"24/07/2014","thermometer",10,0,"nill",0,0,0,0,0,0,0,5,0,6.17,21.17
"25/07/2014","lia Eid",180,0,"Internet",99.95,0,0,0,0,0,0,10,0,6.17,296.12
"26/07/2014","Car service",0,73,"nill",0,0,0,0,0,0,92,0,443,0,608
"27/07/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"28/07/2014","nill",0,0,"nill",0,0,0,0,0,791,0,15,0,6.17,812.17
"29/07/2014","lia eye",13,0,"Viber out",5.99,0,0,0,0,0,0,22,0,12.34,53.33
"30/07/2014","nill",0,0,"nill",0,0,0,0,0,0,0,20,0,6.17,26.17
"31/07/2014","nill",0,0,"nill",0,0,0,0,0,0,0,20,0,6.17,26.17
