"created_at","Product","Cost","Home","Bill Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/06/2014","Lia sari bosundhora",121,0,"optus",115.97,0,0,0,0,0,0,0,0,0,236.97
"02/06/2014","Lia banani salwar",200,0,"Foxtel",50,0,0,0,0,791,0,0,0,0,1041
"03/06/2014","Bd withdraw",286,0,"health insurance",51,0,0,0,0,0,0,0,0,0,337
"04/06/2014","lia bosundhora another sari",161,0,"nill",0,0,0,0,0,0,0,0,0,0,161
"05/06/2014","lia kamij banani",113,0,"nill",0,0,0,0,0,0,0,0,0,0,113
"06/06/2014","Jamuna lira vabi",47,0,"nill",0,120,0,0,0,0,0,0,0,0,167
"07/06/2014","BD Arong",207,0,"nill",0,50,0,0,0,0,0,0,0,0,257
"08/06/2014","Bd withdraw",286,0,"nill",0,0,0,0,0,0,0,0,0,0,286
"09/06/2014","Ticket Change",171,0,"nill",0,0,0,0,0,791,0,0,0,0,962
"10/06/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"11/06/2014","nill",0,0,"Water bill",319.75,0,0,0,0,0,0,0,0,0,319.75
"12/06/2014","BD withdraw",280,0,"nill",0,0,0,0,0,0,0,0,0,0,280
"13/06/2014","nill",0,0,"interest comm platinum",73.54,0,0,0,0,0,0,0,0,0,73.54
"14/06/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"15/06/2014","nill",0,0,"nill",0,0,0,19.95,48.91,0,90.14,0,0,0,159
"16/06/2014","nill",0,0,"nill",0,0,0,0,0,791,0,20,0,6.11,817.11
"17/06/2014","nill",0,0,"Telstra",23.85,0,0,0,0,0,0,20,0,6.11,49.96
"18/06/2014","nill",0,0,"nill",0,0,0,0,0,0,0,20,0,6.11,26.11
"19/06/2014","KMART",36,0,"nill",0,0,0,0,0,0,0,20,0,6.11,62.11
"20/06/2014","nill",0,0,"nill",0,0,35,0,0,0,0,20,0,6.11,61.11
"21/06/2014","lia dress",50,0,"nill",0,0,90,0,0,0,0,0,0,0,140
"22/06/2014","me haircut lia eyebrew",25,0,"nill",0,0,0,22,275,0,0,0,0,0,322
"23/06/2014","nill",0,0,"HOM INSU",72,0,0,0,0,791,0,20,0,6.11,889.11
"24/06/2014","nill",0,0,"nill",0,0,0,0,0,0,0,20,0,6.11,26.11
"25/06/2014","kmart daouat",48,0,"Internet",99,0,270,0,105,0,102,20,0,6.11,650.11
"26/06/2014","glass",0,10,"nill",0,0,0,0,0,0,0,20,0,6.11,36.11
"27/06/2014","nill",0,0,"nill",0,0,0,0,0,0,0,20,0,6.11,26.11
"28/06/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"29/06/2014","nill",0,0,"nill",0,0,21,0,0,791,0,0,0,0,812
"30/06/2014","nill",0,0,"nill",0,0,0,0,0,0,0,12,0,6.11,18.11
