"created_at","Product","Cost","Home","Bill Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/05/2014","BD collete",80,0,"nill",0,0,0,0,0,0,0,23,0,6.17,109.17
"02/05/2014","BD Gift",119,0,"health insurance",51,0,34,0,59.7,0,95.75,23,0,6.17,388.62
"03/05/2014","me suit n tshirt",470,0,"Foxtel",41.12,0,0,0,0,0,0,0,0,0,511.12
"04/05/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"05/05/2014","nill",0,0,"nill",0,0,0,0,0,791.5,0,23,0,6.17,820.67
"06/05/2014","Ryan suit",45.7,0,"nill",0,120,0,0,4,0,0,23,0,6.17,198.87
"07/05/2014","BD Gift",104.95,0,"Lawn",30,50,0,0,0,0,0,23,0,12.34,220.29
"08/05/2014","nill",0,0,"Mobile",121.5,0,0,0,0,0,0,23,0,6.17,150.67
"09/05/2014","Hotel",85.67,0,"Nill",0,0,0,0,0,0,0,25,0,12.34,123.01
"10/05/2014","Sing cash use",263,0,"Nill",0,0,0,0,0,0,0,0,0,0,263
"11/05/2014","Sunglasses me lia",475,0,"Calling card",20,0,0,0,0,0,0,0,0,0,495
"12/05/2014","Sephora",344,0,"nill",0,0,0,0,0,791.5,0,0,0,0,1135.5
"13/05/2014","Snigdha sephora",214,0,"nill",0,0,0,0,0,0,0,0,0,0,214
"14/05/2014","Singapore perfume",283,0,"nill",0,0,0,0,0,0,0,0,0,0,283
"15/05/2014","Bd withdraw lia",284,0,"nill",0,0,0,0,0,0,0,0,0,0,284
"16/05/2014","Nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"17/05/2014","Snigdha perfume",115,0,"nill",0,0,0,0,0,0,0,0,0,0,115
"18/05/2014","Lia saree",110,0,"nill",0,0,0,0,0,0,0,0,0,0,110
"19/05/2014","Lia debit card",115,0,"nill",0,0,0,0,0,791.5,0,0,0,0,906.5
"20/05/2014","40k withdraw",561.72,0,"nill",0,0,0,0,0,0,0,0,0,0,561.72
"21/05/2014","Lia Saree withdraw",286,0,"nill",0,0,0,0,0,0,0,0,0,0,286
"22/05/2014","Lia saree card",482,0,"telstra",24.9,0,0,0,0,0,0,0,0,0,506.9
"23/05/2014","Nill",0,0,"HOME insurance",72,0,0,0,0,0,0,0,0,0,72
"24/05/2014","bd Withdraw",281,0,"nill",0,0,0,0,0,0,0,0,0,0,281
"25/05/2014","BD withdraw icddrb",280,0,"internet",99,0,0,0,0,0,0,0,0,0,379
"26/05/2014","lia saree",460,0,"nill",0,0,0,0,0,791.5,0,0,0,0,1251.5
"27/05/2014","Snigdha gift",2207,0,"Rates",250,0,0,0,0,0,0,0,0,0,2457
"28/05/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"29/05/2014","pbl withdraw",286.78,0,"nill",0,0,0,0,0,0,0,0,0,0,286.78
"30/05/2014","bd withdraw",286.89,0,"nill",0,0,0,0,0,0,0,0,0,0,286.89
"31/05/2014","Nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
