"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/10/2014","me medicine",28,0,"nill",0,0,0,0,0,0,0,22,0,6.23,56.23
"02/10/2014","ripon vai gift",65,0,"health Insu",51,0,0,0,0,0,97,22,0,6.23,241.23
"03/10/2014","me shirt",35,0,"nill",0,0,0,0,0,0,0,22,0,6.23,63.23
"04/10/2014","daouat",320,0,"nill",0,0,0,0,0,0,0,17,0,0,337
"05/10/2014","bd eid",300,0,"nill",0,0,0,0,22,0,0,0,0,0,322
"06/10/2014","nill",0,0,"nill",0,0,0,0,0,791,0,0,0,0,791
"07/10/2014","car transmission",0,0,"Mobile",179,0,0,0,0,0,0,22,126,6.23,333.23
"08/10/2014","nill",0,0,"nill",0,0,0,0,0,0,0,22,0,6.29,28.29
"09/10/2014","lia med",8,0,"nill",0,0,0,0,0,0,0,22,0,6.29,36.29
"10/10/2014","lia no visa",55,0,"nill",0,0,0,0,0,0,0,22,0,6.29,83.29
"11/10/2014","nill",0,0,"nill",0,0,50,0,0,0,0,0,0,0,50
"12/10/2014","nill",0,0,"nill",0,0,0,0,33,0,0,0,0,0,33
"13/10/2014","nill",0,0,"nill",0,0,0,0,0,791,0,22,0,6.29,819.29
"14/10/2014","nill",0,0,"nill",0,0,0,0,0,0,97,22,0,6.29,125.29
"15/10/2014","lia dress",100,0,"nill",0,0,0,0,0,0,0,22,0,6.29,128.29
"16/10/2014","uniqlo me",49,0,"telstra",22.19,0,32,0,35,0,0,16,0,6.29,160.48
"17/10/2014","nill",0,0,"nill",0,0,0,0,17.98,0,5,22,0,6.29,51.27
"18/10/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"19/10/2014","Lia dress",35,0,"nill",0,0,0,0,0,0,0,0,0,0,35
"20/10/2014","nill",0,0,"Electricity",515.8,0,20,0,0,791,0,22,0,6.29,1355.09
"21/10/2014","lia coles",20,0,"Gas",237.28,0,0,34,0,0,0,22,0,6.29,319.57
"22/10/2014","nill",0,0,"Food",35,500,0,0,0,0,0,22,0,6.29,563.29
"23/10/2014","nill",0,0,"Home INSU",76.43,0,0,0,0,0,103,22,0,6.29,207.72
"24/10/2014","speed cam",0,0,"nill",0,0,0,0,0,0,0,22,255,6.29,283.29
"25/10/2014","nill",0,0,"Internet",99,0,0,0,0,0,0,0,0,0,99
"26/10/2014","nill",0,0,"nill",0,0,0,0,147,0,0,0,0,0,147
"27/10/2014","nill",0,0,"nill",0,0,0,0,0,791,0,24,0,6.29,821.29
"28/10/2014","nill",0,0,"nill",0,0,0,0,13.31,0,0,24,0,6.29,43.6
"29/10/2014","nill",0,0,"nill",0,0,0,0,0,0,0,24,0,6.29,30.29
"30/10/2014","nill",0,0,"nill",0,0,0,0,0,0,0,24,0,6.29,30.29
"31/10/2014","nill",0,0,"nill",0,0,20,0,0,0,0,24,0,6.29,50.29
