"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/09/2014","Lia Channel",230,0,"Health Insu",51.5,0,21.4,0,0,791,0,25,0,6.23,1125.13
"02/09/2014","Brisbane",498,0,"Food",35,0,0,0,0,0,0,18,0,6.23,557.23
"03/09/2014","electrical daniel",0,200,"Mobile",102.75,0,0,0,0,0,0,0,0,6.23,308.98
"04/09/2014","Airport Parking",79.8,30,"water bill",314.05,0,0,0,0,0,0,25,0,6.23,455.08
"05/09/2014","tuntu gift",50,0,"nill",0,0,58.6,20,0,0,0,25,0,6.23,159.83
"06/09/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"07/09/2014","fiona",300,0,"nill",0,0,0,0,116,0,12,0,0,0,428
"08/09/2014","domain",20,0,"nill",0,0,0,0,0,791,0,22,0,6.23,839.23
"09/09/2014","nill",0,0,"nill",0,0,0,0,30,0,95,22,0,6.23,153.23
"10/09/2014","nill",0,0,"nill",0,0,0,0,0,0,0,22,0,6.23,28.23
"11/09/2014","brisbane gift",210,0,"nill",0,0,0,0,0,0,0,22,0,6.23,238.23
"12/09/2014","gift",25,0,"nill",0,0,61.3,0,0,0,0,22,0,6.23,114.53
"13/09/2014","me hair",29,0,"nill",0,0,103,0,0,0,0,0,0,0,132
"14/09/2014","lia",60,0,"nill",0,0,0,0,46,0,0,0,0,0,106
"15/09/2014","nill",0,0,"nill",0,0,0,0,0,791,0,22,0,6.23,819.23
"16/09/2014","Daniel Elec",0,50,"nill",0,0,0,0,0,0,0,22,0,12.46,84.46
"17/09/2014","nill",0,0,"Telstra",22.95,0,0,0,0,0,0,22,0,6.23,51.18
"18/09/2014","grooming",50,0,"nill",0,0,0,0,0,0,0,22,0,6.23,78.23
"19/09/2014","nill",0,0,"nill",0,0,22,0,0,0,0,18,0,6.23,46.23
"20/09/2014","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"21/09/2014","nill",0,0,"nill",0,0,20,0,0,0,90,0,0,0,110
"22/09/2014","lia",30,0,"nill",0,0,17,0,0,791,10,0,0,0,848
"23/09/2014","nill",0,0,"Home Insu",77,0,0,0,0,0,0,0,0,6.23,83.23
"24/09/2014","lia saree",250,0,"Food",35,500,0,0,0,0,0,22,0,6.23,813.23
"25/09/2014","lia",4,0,"internet",99.9,0,0,13,0,0,0,22,0,6.23,145.13
"26/09/2014","flickr",24.99,0,"nill",0,0,85,0,0,0,0,22,0,6.23,138.22
"27/09/2014","Daouat",115,26,"nill",0,0,0,0,0,0,0,0,0,0,141
"28/09/2014","nill",0,20,"nill",0,0,0,0,0,0,0,0,0,0,20
"29/09/2014","nill",0,20,"nill",0,0,0,0,0,791,0,22,0,6.23,839.23
"30/09/2014","Cusion",0,192,"nill",0,0,0,20,12,0,0,14,0,6.23,244.23
