"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/04/2015","nill",0,0,"Health INSU",56.69,0,0,0,0,0,90.82,26,21,6.36,200.87
"02/04/2015","nill",0,0,"nill",0,0,60,0,0,0,0,26,0,6.36,92.36
"03/04/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"04/04/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"05/04/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"06/04/2015","nill",0,0,"nill",0,0,31,0,160,791,0,0,0,0,982
"07/04/2015","nill",0,0,"Optus",120,0,34,0,0,0,0,26,0,6.81,186.81
"08/04/2015","lia",50,0,"nill",0,0,0,0,0,0,0,26,0,6.81,82.81
"09/04/2015","me shirt",120,0,"nill",0,0,0,0,0,0,0,26,0,6.81,152.81
"10/04/2015","Hotel Taj",1205.49,0,"nill",0,0,0,10,0,0,0,26,0,6.81,1248.3
"11/04/2015","nill",0,37,"nill",0,0,51,25,30,0,0,0,0,0,143
"12/04/2015","Kmart",0,109,"nill",0,0,0,0,0,0,0,0,0,0,109
"13/04/2015","nill",0,0,"viber",6.71,0,0,0,0,791,0,26,0,6.81,830.52
"14/04/2015","nill",0,0,"nill",0,0,0,0,0,0,82,26,0,6.81,114.81
"15/04/2015","nill",0,0,"nill",0,0,0,0,0,0,0,26,21,6.81,53.81
"16/04/2015","nill",0,0,"Lawn",30,0,40,20,0,0,0,26,0,13.6,129.6
"17/04/2015","nill",0,0,"nill",0,0,0,0,0,0,0,26,0,6.81,32.81
"18/04/2015","nill",0,0,"nill",0,0,65,0,0,0,0,0,0,0,65
"19/04/2015","lia massage",35,0,"nill",0,0,0,0,42,0,0,0,0,0,77
"20/04/2015","nill",0,0,"nill",0,0,0,0,0,791,0,26,0,13.6,830.6
"21/04/2015","nill",0,0,"nill",0,0,0,0,0,0,0,26,0,13.6,39.6
"22/04/2015","lia",50,0,"GAS",179.68,0,0,0,0,0,0,42,0,13.6,285.28
"23/04/2015","me pants",54,38,"ELEC",398.89,0,0,0,0,0,0,26,0,13.6,530.49
"24/04/2015","nill",0,0,"Netflix",11.99,0,0,0,0,0,0,26,0,13.6,51.59
"25/04/2015","nill",0,0,"Internet",99,0,0,0,19.46,0,89.55,0,0,0,208.01
"26/04/2015","nill",0,150,"Food",40,0,0,0,10,0,0,0,0,0,200
"27/04/2015","nill",0,0,"STAN",10,0,0,0,0,791,0,26,0,6.81,833.81
"28/04/2015","nill",0,0,"nill",0,0,0,0,80,0,0,26,0,6.81,112.81
"29/04/2015","nill",0,0,"nill",0,0,0,0,0,0,0,26,21,6.81,53.81
"30/04/2015","nill",0,0,"Optus",119.19,0,0,0,0,0,0,26,0,6.81,152
