created_at,Product,Cost,Home,Bill_Item,Bills,Payoff,Entertainment,Ciger,Groceries,Mortgage,Petrol,Food,Driving,Toll,Total_Expenses
1/08/2015,Paris exp,752,0,nill,0,0,0,0,0,0,0,0,0,0,752
2/08/2015,Lia paris,3300,0,home insu,56,0,0,0,0,0,0,0,0,0,3356
3/08/2015,me paris,150,0,nill,0,0,0,0,0,817,0,0,0,0,967
4/08/2015,Shopping Amsterdam,420,0,nill,0,0,0,0,0,0,0,0,0,0,420
5/08/2015,Amsterdam exp,520.5,0,nill,0,0,0,0,0,0,0,0,0,0,520.5
6/08/2015,Geneva exp,214,0,nill,0,0,0,0,0,0,0,0,0,0,214
7/08/2015,Me geneva,421.7,0,nill,0,0,0,0,0,0,0,0,0,0,421.7
8/08/2015,Lia geneva,271.7,0,nill,0,0,0,0,0,0,0,0,0,0,271.7
9/08/2015,Rome exp,550,0,nill,0,0,0,0,0,0,0,0,0,0,550
10/08/2015,Rome gifts,186,0,nill,0,0,0,0,0,817,0,0,0,0,1003
11/08/2015,Lia rome,28,0,nill,0,0,0,0,0,0,0,0,0,0,28
12/08/2015,Venice exp,538,0,nill,0,0,0,0,0,0,0,0,0,0,538
13/08/2015,Me madrid,719,0,nill,0,0,0,0,0,0,0,0,0,0,719
14/08/2015,madrid exp,545,0,nill,0,0,0,0,0,0,0,0,0,0,545
15/08/2015,Overseas transaction,117,0,nill,0,0,0,0,0,0,0,0,0,0,117
16/08/2015,Lia Madrid,1685,0,nill,0,0,0,0,0,0,0,0,0,0,1685
17/08/2015,Sydney Taxi,211,0,Food,42,0,0,0,0,817,0,0,0,0,1070
18/08/2015,Madrid Gift,150,0,nill,0,0,0,0,0,0,87,25,0,12.9,274.9
19/08/2015,nill,0,0,nill,0,0,0,0,0,0,0,25,0,6.45,31.45
20/08/2015,nill,0,0,nill,0,0,0,0,0,0,0,25,0,6.45,31.45
21/08/2015,nill,0,0,nill,0,0,0,0,0,0,0,25,0,6.45,31.45
22/08/2015,nill,0,0,nill,0,0,29,0,123.88,0,0,0,0,0,152.88
23/08/2015,nill,0,0,Home INSU,76.5,0,86,0,0,0,0,0,0,0,162.5
24/08/2015,nill,0,0,nill,0,0,0,0,0,817,0,10,0,6.45,833.45
25/08/2015,Valuation,49,0,Internet,99,0,0,0,0,0,0,25,0,6.45,179.45
26/08/2015,samya gift,107,0,nill,0,0,11,0,20,0,0,25,0,6.45,169.45
27/08/2015,me suit,378,0,nill,0,0,0,0,0,0,0,30,0,6.45,414.45
28/08/2015,nill,0,0,Rates,396,0,47,0,0,0,75,30,0,6.45,554.45
29/08/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
30/08/2015,nill,0,0,nill,0,0,0,0,145,0,0,0,0,0,145
31/08/2015,nill,0,0,nill,0,0,0,0,0,823,0,30,0,12.9,865.9
