"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/02/2015","nill",0,0,"nill",0,0,0,0,128.26,792,0,0,0,0,920.26
"02/02/2015","nill",0,0,"Health INSU",51,0,0,0,0,0,0,24,0,6.34,81.34
"03/02/2015","Europe Tkt",4959,0,"nill",0,0,0,0,0,0,0,24,0,6.34,4989.34
"04/02/2015","marisa gift",44.95,0,"Optus",120.48,0,15,0,0,0,0,24,0,6.34,210.77
"05/02/2015","me shorts",20,0,"nill",0,0,49,0,0,0,0,24,0,12.68,105.68
"06/02/2015","nill",0,0,"nill",0,0,0,0,0,0,0,24,0,6.34,30.34
"07/02/2015","nill",0,0,"nill",0,0,0,0,0,0,84,0,0,0,84
"08/02/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"09/02/2015","nill",0,0,"nill",0,0,0,0,0,792,0,28,0,6.34,826.34
"10/02/2015","brisbane car park",79,0,"Food",45,0,0,0,0,0,0,28,0,6.34,158.34
"11/02/2015","Brisbane",638,0,"nill",0,0,0,0,0,0,0,28,0,12.68,678.68
"12/02/2015","lia shoping",50,0,"nill",0,0,0,0,0,0,0,28,0,6.34,84.34
"13/02/2015","me campers",320,0,"nill",0,0,0,0,28.5,0,0,28,0,6.34,382.84
"14/02/2015","Lia chanel",700,0,"nill",0,0,70,0,0,0,0,0,0,0,770
"15/02/2015","city",0,0,"nill",0,0,0,0,10,0,0,0,0,15.45,25.45
"16/02/2015","neurofen",20,0,"nill",0,0,0,0,6,792,0,28,0,12.68,858.68
"17/02/2015","nill",0,0,"Foxtel",50,0,0,0,0,0,78.96,24,0,6.34,159.3
"18/02/2015","nill",0,0,"Telstra",23.95,0,0,0,0,0,0,24,0,6.34,54.29
"19/02/2015","Bris gift",150,0,"nill",0,0,0,0,0,0,0,24,0,12.68,186.68
"20/02/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,25,25
"21/02/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"22/02/2015","nill",0,0,"Home Insu",76,0,0,0,0,0,0,30,0,0,106
"23/02/2015","Bihu Gift",60,0,"Food",30,0,0,20,0,792,0,24,0,6.34,932.34
"24/02/2015","Brussels Air",613.2,0,"Lawn",30,0,0,0,0,0,40,14,0,6.34,703.54
"25/02/2015","Swiss",302.9,0,"Internet",99,0,0,60,0,0,0,17,0,6.34,485.24
"26/02/2015","KLM",416.54,0,"Council",371,0,15,0,0,0,40,17,0,12.68,872.22
"27/02/2015","British Air",565,0,"STAN",10,0,0,0,0,0,0,24,0,6.34,605.34
"28/02/2015","Euro Star",234.41,0,"nill",0,0,0,0,0,0,78,0,0,0,312.41
