"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/01/2015","nill",0,0,"nill",0,0,33.2,0,0,0,0,0,0,0,33.2
"02/01/2015","nill",0,0,"Health Insu",51.5,0,0,0,0,0,0,0,0,0,51.5
"03/01/2015","lia sunglass",200,0,"nill",0,0,0,0,0,0,15,0,0,0,215
"04/01/2015","lia prada",2590,0,"nill",0,0,0,0,0,0,15,0,0,0,2605
"05/01/2015","BD medicine",140,0,"nill",0,0,0,0,31.57,791,0,20,0,6.34,988.91
"06/01/2015","Anniversary flower",113,0,"nill",0,0,0,0,0,0,0,15,0,6.34,134.34
"07/01/2015","toolznAppz",9.99,0,"Optus",119.99,0,0,0,0,0,0,20,0,6.34,156.32
"08/01/2015","telescope lense",87,0,"nill",0,0,0,0,0,0,0,24,0,6.34,117.34
"09/01/2015","me shopping",59.61,9,"nill",0,0,0,0,0,0,0,24,0,6.34,98.95
"10/01/2015","nill",0,20,"nill",0,0,47,0,0,0,0,0,0,0,67
"11/01/2015","nill",0,18,"nill",0,0,0,0,0,0,77.68,0,0,0,95.68
"12/01/2015","Bunnings",0,114,"nill",0,0,25,0,0,791,0,24,0,6.34,960.34
"13/01/2015","nill",0,0,"nill",0,0,0,0,0,0,0,24,0,6.34,30.34
"14/01/2015","nill",0,0,"nill",0,0,24.5,0,0,0,0,24,0,6.34,54.84
"15/01/2015","me Shoe",139,0,"nill",0,0,46,0,0,0,0,24,0,12.68,221.68
"16/01/2015","lia vSec",22,0,"nill",0,0,0,0,0,0,0,24,0,6.39,52.39
"17/01/2015","nill",0,0,"nill",0,0,55,0,0,0,0,0,0,0,55
"18/01/2015","lia",75,0,"nill",0,0,0,0,245.67,0,0,0,0,0,320.67
"19/01/2015","nill",0,0,"nill",0,0,0,0,0,791,0,24,0,6.39,821.39
"20/01/2015","lia",25,100,"nill",0,199,0,0,0,0,0,24,0,6.39,354.39
"21/01/2015","nill",0,0,"nill",0,223.96,0,0,0,0,0,24,0,6.39,254.35
"22/01/2015","lia dress",50,22,"Elect Bill",380.51,40,0,21,0,0,70,24,0,6.39,613.9
"23/01/2015","nill",0,0,"Gas Bill",196.22,0,0,0,0,0,0,24,0,6.39,226.61
"24/01/2015","nelson bay tour",0,0,"Home INSU",76.43,0,420,0,0,0,0,0,0,0,496.43
"25/01/2015","nill",0,0,"Internet",99,0,0,0,0,0,0,0,0,0,99
"26/01/2015","nill",0,0,"nill",0,0,0,0,0,791,0,0,0,0,791
"27/01/2015","lia",10,10,"nill",0,0,0,0,0,0,0,24,0,13,57
"28/01/2015","lia",30,0,"nill",0,0,0,0,0,0,0,24,0,6.34,60.34
"29/01/2015","chromecast",49,0,"nill",0,0,36,0,0,0,0,24,0,12.68,121.68
"30/01/2015","Car service",0,0,"nill",0,0,57.7,0,0,0,0,0,315,0,372.7
"31/01/2015","hair cut",29,44,"Lawn mow",50,0,10,0,0,0,0,0,0,0,133
