"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/07/2015","nill",0,0,"nill",0,0,0,0,0,0,0,12,0,7.5,19.5
"02/07/2015","me HNM",89,0,"Health INSU",56.69,0,0,0,0,0,0,12,0,12.82,170.51
"03/07/2015","medicine",82.97,0,"nill",0,0,50,0,0,0,93.65,12,0,6.41,245.03
"04/07/2015","BD Shop",220,0,"nill",0,0,50,0,0,0,0,0,0,0,270
"05/07/2015","BD Dress",67,0,"Food",32,0,0,0,0,0,0,0,0,0,99
"06/07/2015","me toilatries",46,0,"Optus",115,0,0,0,0,819,10,17,0,12.82,1019.82
"07/07/2015","Bd Luggage",68,0,"nill",0,0,0,0,0,0,15,17,0,12.82,112.82
"08/07/2015","Lia Banani",150,0,"nill",0,0,0,0,0,0,0,23,21,6.41,200.41
"09/07/2015","BD Pressure machine",180,0,"nill",0,0,33,0,0,0,0,23,0,12.82,248.82
"10/07/2015","Moaz stylus",55,0,"nill",0,0,31,0,0,0,0,15,0,12.82,113.82
"11/07/2015","BD Gift",54,0,"nill",0,0,0,0,0,0,0,0,0,0,54
"12/07/2015","me perfume",108,0,"nill",0,0,0,0,0,0,0,0,0,0,108
"13/07/2015","Dubai Hotel",550,0,"nill",0,0,0,0,0,817.5,0,0,0,0,1367.5
"14/07/2015","Dubai Withdraw",380,0,"Electricity",600,0,0,0,0,0,0,0,0,0,980
"15/07/2015","Dubai Gold",2600,0,"Gas",240,0,0,0,0,0,0,0,0,0,2840
"16/07/2015","Dubai desert",199,0,"nill",0,0,0,0,0,0,0,0,0,0,199
"17/07/2015","BD Lia shop",600,0,"nill",0,0,0,0,0,0,0,0,0,0,600
"18/07/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"19/07/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"20/07/2015","nill",0,0,"nill",0,0,0,0,0,817.5,0,0,0,0,817.5
"21/07/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"22/07/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"23/07/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"24/07/2015","nill",0,0,"Home insu",76,0,0,0,0,0,0,0,0,0,76
"25/07/2015","nill",0,0,"internet",99,0,0,0,0,0,0,0,0,0,99
"26/07/2015","BD exp",350,0,"nill",0,0,0,0,0,0,0,0,0,0,350
"27/07/2015","nill",0,0,"nill",0,0,0,0,0,817.5,0,0,0,0,817.5
"28/07/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"29/07/2015","lia London shopping",577,0,"nill",0,0,0,0,0,0,0,0,0,0,577
"30/07/2015","me London shopping",315,0,"nill",0,0,0,0,0,0,0,0,0,0,315
"31/07/2015","London exp",932,0,"nill",0,0,0,0,0,0,0,0,0,0,932
