"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/06/2015","nill",0,0,"nill",0,0,0,0,0,819,0,24,0,6.41,849.41
"02/06/2015","nill",0,0,"Health INSU",52,0,0,0,59.9,0,0,24,0,6.41,142.31
"03/06/2015","lia",20,0,"Optus",121.09,0,0,0,0,0,0,24,0,6.41,171.5
"04/06/2015","me Polo",208,0,"Lawn & Window",65,0,21,0,0,0,0,14,0,12.82,320.82
"05/06/2015","donation",10,0,"nill",0,0,0,0,0,0,0,25,0,6.41,41.41
"06/06/2015","luggage",30,0,"nill",0,0,40,0,0,0,91.73,0,0,0,161.73
"07/06/2015","me tshirts",100,0,"nill",0,0,40,0,0,0,0,0,0,0,140
"08/06/2015","Bd shop",490,0,"Food",40,0,38,0,0,819,0,0,0,0,1387
"09/06/2015","me hair",20,0,"nill",0,0,0,0,0,0,0,25,0,6.41,51.41
"10/06/2015","lia bag",100,0,"Water Bill",320,0,0,0,0,0,0,25,21,6.41,472.41
"11/06/2015","aircanteen",11.42,0,"nill",0,0,0,0,0,0,0,25,0,6.41,42.83
"12/06/2015","BD shop",54,0,"nill",0,0,21,0,0,0,0,25,0,6.41,106.41
"13/06/2015","Lia dress",129,0,"nill",0,0,48,21,0,0,0,0,0,0,198
"14/06/2015","BD shop",40,20,"Food",49,0,39,0,11.28,0,0,0,0,0,159.28
"15/06/2015","Europe Shop",18.8,0,"nill",0,0,0,0,0,819,90,25,0,6.41,959.21
"16/06/2015","hospital parking",6,0,"nill",0,0,0,0,0,0,0,25,0,12.82,43.82
"17/06/2015","lia",100,0,"nill",0,0,0,0,0,0,0,25,0,6.41,131.41
"18/06/2015","ph cover",30,0,"nill",0,0,0,0,0,0,0,25,0,12.82,67.82
"19/06/2015","BD Shop",67,0,"nill",0,0,21,0,0,0,0,0,0,0,88
"20/06/2015","car wash",40,0,"nill",0,0,55,0,90,0,0,0,0,0,185
"21/06/2015","Lia jacket",100,0,"nill",0,0,0,0,110,0,0,0,0,0,210
"22/06/2015","MOAZ Shopping",528.75,0,"Home INSU",76.43,0,0,0,0,819,0,12,0,12.82,1449
"23/06/2015","Moaz Shopping",426.81,0,"NetFlix",11.99,0,0,0,0,0,0,12,0,12.82,463.62
"24/06/2015","power bank",39.99,0,"nill",0,0,0,0,0,0,0,12,21,6.41,79.4
"25/06/2015","selfie stick",11.95,0,"Internet",99.99,0,22,0,0,0,102.92,12,0,12.82,261.68
"26/06/2015","Ammu Bag",200,0,"nill",0,0,12,0,100,0,0,12,0,6.41,330.41
"27/06/2015","Lia rouse hill",100,0,"nill",0,0,40,0,0,0,0,0,0,0,140
"28/06/2015","nill",0,0,"nill",0,0,28,0,58,0,0,0,0,0,86
"29/06/2015","nill",0,0,"Food",48,0,0,0,0,819,0,12,0,7.5,886.5
"30/06/2015","nill",0,0,"nill",0,0,0,0,114,0,0,12,0,7.5,133.5
