"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/03/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"02/03/2015","nill",0,0,"Health Insu",52,0,25,0,0,792,0,24,0,6.36,899.36
"03/03/2015","me medicine",53,0,"Food",50,0,0,0,38.63,0,0,24,0,6.36,171.99
"04/03/2015","Lia shoppoing",50,0,"nill",0,0,0,0,0,0,0,18,0,6.36,74.36
"05/03/2015","nill",0,0,"nill",0,0,0,0,0,0,0,24,0,12.68,36.68
"06/03/2015","Lia Dress",80,0,"nill",0,0,0,0,0,0,0,24,0,6.36,110.36
"07/03/2015","DEI DRAGOMANNI Venice",608.84,0,"nill",0,0,0,0,0,0,0,0,0,0,608.84
"08/03/2015","lia eye",10,0,"Optus",120,0,0,0,53,0,0,0,0,0,183
"09/03/2015","Rome hotel",43,116.41,"nill",0,0,0,0,0,792,0,0,0,0,1951.41
"10/03/2015","crowne Plaza Amsterdam",489.27,0,"nill",0,0,0,0,0,0,0,24,0,6.36,519.63
"11/03/2015","nill",0,0,"Water Bill",330.95,0,0,0,0,0,93.53,24,0,6.36,454.84
"12/03/2015","nill",0,0,"nill",0,0,32,0,0,0,0,24,0,6.36,62.36
"13/03/2015","nill",0,0,"nill",0,0,0,0,0,0,0,14,0,12.68,26.68
"14/03/2015","nill",0,140,"nill",0,0,0,0,80,0,0,0,0,0,220
"15/03/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"16/03/2015","nill",0,0,"Foxtel",50,0,0,0,0,792,0,24,0,6.36,872.36
"17/03/2015","nill",0,0,"nill",0,0,0,0,0,0,0,24,0,6.36,30.36
"18/03/2015","nill",0,0,"nill",0,0,0,0,0,0,0,24,0,6.36,30.36
"19/03/2015","nill",0,0,"Lawn",30,0,0,0,163,0,0,24,0,6.36,223.36
"20/03/2015","nill",0,0,"nill",0,0,250,25,0,0,0,34,0,12.68,321.68
"21/03/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"22/03/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"23/03/2015","nill",0,0,"Home Insu",76,0,0,0,0,792,0,24,0,12.68,904.68
"24/03/2015","Lia Hair",35,0,"nill",0,0,0,0,0,0,0,26,0,6.36,67.36
"25/03/2015","Lia dress",60,0,"Internet",99,0,25,0,0,0,92,26,0,6.36,308.36
"26/03/2015","med",18,0,"Stan",10,0,0,0,0,0,0,26,0,6.36,60.36
"27/03/2015","Lia med",30,0,"nill",0,0,22,42,27,0,0,26,0,6.36,153.36
"28/03/2015","me haircut",24,0,"nill",0,0,30,0,0,0,0,0,0,0,54
"29/03/2015","turtle",0,39,"nill",0,0,53.8,0,0,0,0,0,0,0,92.8
"30/03/2015","MOEVENPICK HOTEL",510,0,"nill",0,0,14.2,0,0,792,0,26,0,6.36,1348.56
"31/03/2015","MELIA VENDOME",870,0,"FOOD",60,0,0,0,0,0,0,26,0,6.36,962.36
