"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/05/2015","nill",0,0,"nill",0,0,0,0,0,0,0,26,0,6.37,32.37
"02/05/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"03/05/2015","nill",0,8.72,"Health Insu",56,0,0,0,0,0,0,0,0,0,64.72
"04/05/2015","nill",0,0,"nill",0,0,0,0,0,800,0,26,0,6.37,832.37
"05/05/2015","nill",0,0,"Food",40,0,0,0,0,0,0,26,0,6.37,72.37
"06/05/2015","Anna Frank",50,0,"nill",0,0,0,0,0,0,88.04,26,0,6.37,170.41
"07/05/2015","Lia",25,0,"nill",0,0,0,0,0,0,0,26,0,12.68,63.68
"08/05/2015","Babu Gift",45,0,"nill",0,0,25,0,88,0,0,26,0,6.41,190.41
"09/05/2015","Farhana gift",60,0,"nill",0,0,0,0,0,0,0,0,0,8,68
"10/05/2015","eifle tower",169.42,124.63,"Food",30,0,0,0,0,0,0,0,0,0,324.05
"11/05/2015","vatican city",180.92,0,"nill",0,0,0,0,0,819,0,26,0,6.41,1032.33
"12/05/2015","Colosseum",152,0,"nill",0,0,0,0,0,0,0,26,0,6.41,184.41
"13/05/2015","nill",0,0,"nill",0,0,12,0,0,0,0,26,21,6.41,65.41
"14/05/2015","nill",0,0,"nill",0,0,12,0,0,0,0,26,0,6.41,44.41
"15/05/2015","nill",0,0,"nill",0,0,37,0,0,0,0,26,0,6.41,69.41
"16/05/2015","nill",0,0,"nill",0,0,0,0,0,0,88,0,0,2.7,90.7
"17/05/2015","nill",0,0,"nill",0,0,39,0,0,0,0,0,0,0,39
"18/05/2015","nill",0,0,"nill",0,0,0,0,0,819,0,0,0,0,819
"19/05/2015","lia",50,0,"nill",0,0,25,0,81,0,0,16,0,0,172
"20/05/2015","me medicine",32,0,"nill",0,500,0,0,0,0,0,28,0,12.82,572.82
"21/05/2015","tower of london",88.2,0,"nill",0,0,6,0,0,0,0,28,0,12.82,135.02
"22/05/2015","rome train",240,0,"nill",0,0,22,0,0,0,0,28,0,6.41,296.41
"23/05/2015","Hotel InterContinental",657,0,"netflix",12,0,28,0,83,0,0,0,0,0,780
"24/05/2015","dhk gift",30,0,"Food",30,0,0,0,50,0,0,0,0,0,110
"25/05/2015","Snigdha Gift",130,0,"Internet",99,0,0,0,0,819,0,28,0,12.82,1088.82
"26/05/2015","nill",0,0,"Home Insu",76.3,0,0,0,0,0,0,18,0,6.41,100.71
"27/05/2015","nill",0,0,"Rates",371,0,0,0,0,0,94,28,21,6.41,520.41
"28/05/2015","nill",0,0,"nill",0,0,42,0,0,0,0,28,0,6.41,76.41
"29/05/2015","BD medicine",155,49,"nill",0,0,38,0,59.12,0,0,28,0,6.41,335.53
"30/05/2015","nill",0,30,"nill",0,0,58,0,0,0,0,0,0,0,88
"31/05/2015","nill",0,22,"nill",0,0,0,0,49.99,0,0,0,0,0,71.99
