"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/11/2015","nill",0,0,"Food",30,0,0,0,0,0,0,0,0,0,30
"02/11/2015","nill",0,0,"Optus",239.52,0,0,0,0,837,0,30,0,6.55,1113.07
"03/11/2015","nill",0,0,"Health",56,0,0,0,0,0,12,20,0,13.1,101.1
"04/11/2015","nill",0,0,"nill",0,0,0,0,0,0,0,30,0,6.55,36.55
"05/11/2015","nill",0,0,"nill",0,0,33,0,0,0,0,30,0,6.55,69.55
"06/11/2015","nill",0,0,"nill",0,0,0,0,0,0,96,30,0,6.55,132.55
"07/11/2015","nill",0,0,"nill",0,0,35,0,0,0,0,0,0,0,35
"08/11/2015","Car INSU",0,0,"nill",0,0,0,0,0,0,0,0,796.74,0,796.74
"09/11/2015","REGO",0,0,"Food",40,0,0,0,0,837,0,30,496,6.55,1409.55
"10/11/2015","CTP Green",0,0,"nill",0,0,0,0,0,0,0,30,544.34,13.1,587.44
"11/11/2015","Roadside",0,0,"nill",0,0,0,0,52,0,0,30,110,13.1,205.1
"12/11/2015","nill",0,0,"nill",0,0,40,0,0,0,0,65,0,13.1,118.1
"13/11/2015","nill",0,0,"nill",0,0,0,25,0,0,0,53,0,13.1,91.1
"14/11/2015","nill",0,0,"nill",0,0,0,0,0,0,0,0,0,0,0
"15/11/2015","lia eye",20,0,"nill",0,0,0,0,0,0,0,0,0,0,20
"16/11/2015","nill",0,0,"nill",0,0,0,0,0,837,0,30,0,6.55,873.55
"17/11/2015","nill",0,0,"nill",0,0,0,0,153,0,0,20,0,13.1,186.1
"18/11/2015","nill",0,0,"nill",0,0,25,0,16.3,0,0,30,0,13.1,84.4
"19/11/2015","nill",0,0,"nill",0,0,25,0,0,0,0,30,0,6.55,61.55
"20/11/2015","nill",0,0,"nill",0,0,17.3,0,0,0,0,30,0,6.55,53.85
"21/11/2015","nill",0,0,"nill",0,0,59.1,0,0,0,78.36,0,0,0,137.46
"22/11/2015","nill",0,0,"Food",35,0,0,0,0,0,0,0,0,0,35
"23/11/2015","nill",0,0,"Home INSU",57.5,0,0,0,100,870,0,30,0,6.55,1064.05
"24/11/2015","nodesbox",12.5,0,"nill",0,0,0,0,0,0,0,20,0,6.55,39.05
"25/11/2015","nill",0,0,"Internet",99,0,0,0,0,0,0,30,0,6.55,135.55
"26/11/2015","nill",0,0,"nill",0,0,0,0,0,0,0,60,0,13.1,73.1
"27/11/2015","priceline",117,0,"Wealth package",395,0,25.7,0,20,0,0,30,0,13.1,600.8
"28/11/2015","nill",0,153.57,"Rates",397,0,0,0,0,0,0,0,0,0,550.57
"29/11/2015","nill",0,0,"nill",0,0,100,0,0,0,0,0,0,0,100
"30/11/2015","nill",0,0,"food",47,0,0,0,30,870,0,30,0,14.1,991.1
