created_at,Product,Cost,Home,Bill_Item,Bills,Payoff,Entertainment,Ciger,Groceries,Mortgage,Petrol,Food,Driving,Toll,Total_Expenses
1/09/2015,nill,0,0,Health INSU,56.2,0,0,0,0,0,0,30,0,6.45,92.65
2/09/2015,nill,0,0,nill,0,0,0,0,0,0,0,30,0,6.45,36.45
3/09/2015,BD Hajj,414,0,Optus,314,0,36,0,40,0,0,31,0,12.9,847.9
4/09/2015,Tuntu Bday,54,0,nill,0,0,0,0,0,0,0,20,0,6.45,80.45
5/09/2015,nill,0,0,nill,0,0,55,0,0,0,0,0,0,0,55
6/09/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
7/09/2015,nill,0,0,Food,50,0,0,0,0,823,0,30,0,6.45,909.45
8/09/2015,nill,0,38,Water,307.98,0,0,0,29,0,78.15,30,0,6.45,489.58
9/09/2015,nill,0,0,nill,0,0,0,0,0,0,0,30,0,6.45,36.45
10/09/2015,nill,0,0,nill,0,0,0,0,0,0,0,16,0,12.9,28.9
11/09/2015,dry wash,42,0,Viber,50,0,28,0,0,0,0,15,0,12.9,147.9
12/09/2015,Marsden park,1000,0,nill,0,0,44,0,0,0,0,0,0,0,1044
13/09/2015,nill,0,0,nill,0,0,0,0,34.7,0,0,0,0,0,34.7
14/09/2015,nill,0,0,nill,0,0,0,0,91,823,0,30,0,6.45,950.45
15/09/2015,nill,0,0,Food,38,0,0,0,0,0,0,30,0,12.9,80.9
16/09/2015,BD Eid,287,0,Viber,29,0,0,0,0,0,0,30,0,6.45,352.45
17/09/2015,nill,0,0,nill,0,0,0,0,0,0,91.93,30,0,12.9,134.83
18/09/2015,nill,0,0,nill,0,0,0,0,0,0,0,30,0,6.45,36.45
19/09/2015,nill,0,0,nill,0,0,23.85,0,0,0,0,0,0,6.45,30.3
20/09/2015,nill,0,0,nill,0,0,0,0,69,0,0,0,0,0,69
21/09/2015,Flickr,36,0,nill,0,0,0,0,0,823,0,30,0,12.9,901.9
22/09/2015,Me medicinine,28,0,nill,0,0,0,0,0,0,0,30,0,6.45,64.45
23/09/2015,Dec Trip,650,0,Home INSU,58.23,0,0,0,40,0,0,30,0,6.45,784.68
24/09/2015,nill,0,0,nill,0,0,0,0,0,0,0,25,0,12.9,37.9
25/09/2015,nill,0,0,viber,50,0,0,0,0,0,0,0,0,0,50
26/09/2015,nill,0,60,internet,99,0,0,0,0,0,0,0,0,0,159
27/09/2015,nill,0,16,Lawn,40,0,88,0,0,0,0,0,0,0,144
28/09/2015,nill,0,0,nill,0,0,0,0,0,823,0,30,0,6.45,859.45
29/09/2015,nill,0,0,nill,0,0,0,0,0,0,91,30,0,6.45,127.45
30/09/2015,nill,0,0,Viber,30,0,66,0,0,0,0,30,0,6.45,132.45
