created_at,Product,Cost,Home,Bill_Item,Bills,Payoff,Entertainment,Ciger,Groceries,Mortgage,Petrol,Food,Driving,Toll,Total_Expenses
01/01/2014,UNIV,167,0,nill,0,0,0,0,0,0,100,0,0,0,267
02/01/2014,ANIV,94.5,0,nill,0,0,0,0,0,0,0,22,0,6.11,122.61
03/01/2014,nill,0,0,nill,0,0,0,0,0,0,0,22,0,6.11,28.11
04/01/2014,nill,0,0,Health Insurence,48,0,51,0,0,0,0,0,0,0,99
05/01/2014,nill,0,0,nill,0,0,0,0,130,0,0,0,0,0,130
06/01/2014,nill,0,0,nill,0,0,0,0,0,791.5,0,22,0,6.11,819.61
07/01/2014,nill,0,0,Optus,119.49,120,0,14.5,53,0,0,22,0,6.11,335.1
08/01/2014,nill,0,0,Lawn Mowing,30,0,0,0,0,0,0,22,0,6.11,58.11
09/01/2014,nill,0,0,Citi Annual Fee,199,0,0,0,0,0,0,22,0,6.11,227.11
10/01/2014,nill,0,0,nill,0,0,0,0,0,0,0,22,0,6.11,28.11
11/01/2014,Aniv dinner,234,0,nill,0,0,0,0,15,0,0,0,0,0,249
12/01/2014,BBq,97,0,nill,0,0,0,0,75,0,91,0,0,0,263
13/01/2014,nill,0,0,nill,0,0,0,0,0,791.5,0,22,0,6.11,819.61
14/01/2014,nill,0,0,Food_order,30,0,0,0,0,0,0,22,0,6.11,58.11
15/01/2014,nill,0,0,Gas Bill,132,0,0,0,0,0,0,22,0,6.11,160.11
16/01/2014,nill,0,0,nill,0,0,0,0,0,0,0,22,0,6.11,28.11
17/01/2014,nill,0,0,nill,0,0,95,0,57,0,0,22,0,6.11,180.11
18/01/2014,me Haircut,27,0,nill,0,0,0,0,70,0,0,0,0,0,97
19/01/2014,Lia,30,0,Telstra,3.8,0,0,0,0,0,0,0,0,0,33.8
20/01/2014,nill,0,0,nill,0,0,0,0,0,791.5,0,22,0,6.11,819.61
21/01/2014,nill,0,0,nill,0,0,0,0,0,0,0,22,0,6.11,28.11
22/01/2014,nill,0,0,Calling Card,20,0,0,0,11,0,0,22,0,6.11,59.11
23/01/2014,nill,0,0,Home Insurance,72.49,0,46,18,0,0,100,22,0,6.11,264.6
24/01/2014,nill,0,0,Electricity,339.07,0,0,0,0,0,0,22,0,6.11,367.18
25/01/2014,nill,0,0,Internet,99,0,60,0,0,0,0,0,0,0,159
26/01/2014,passport photo,10,0,Food_order,30,0,0,0,100,0,0,0,0,0,140
27/01/2014,nill,0,0,nill,0,0,0,10,0,791.5,0,0,0,0,801.5
28/01/2014,nill,0,0,nill,0,0,0,0,0,0,0,22,0,6.11,28.11
29/01/2014,nill,0,0,nill,0,0,0,0,0,0,0,22,0,6.11,28.11
30/01/2014,course,1.99,0,nill,0,0,0,0,0,0,0,22,0,6.11,30.1
31/01/2014,Course,4,0,nill,0,0,0,0,0,0,0,22,0,6.11,32.11
01/02/2014,lia,30,0,nill,0,0,0,0,0,0,102,0,0,0,132
02/02/2014,lia,20,0,Health Insurance,48.5,0,0,0,130,0,0,0,0,0,198.5
03/02/2014,payTag,2.99,0,Food,36,0,0,0,0,791,0,22,0,6.11,858.1
04/02/2014,nill,0,0,nill,0,0,0,0,30,0,0,22,0,6.11,58.11
05/02/2014,nill,0,0,Optus,119.49,0,0,0,0,0,0,22,0,6.11,147.6
06/02/2014,Gift,100,0,nill,0,0,0,0,0,0,0,22,0,6.11,128.11
07/02/2014,lia city,60,0,nill,0,120,30,0,0,0,0,0,0,0,210
08/02/2014,lia party,90,0,nill,0,0,0,0,0,0,0,0,0,0,90
09/02/2014,univ,68.5,0,nill,0,0,0,15,0,0,102,0,0,0,185.5
10/02/2014,lia sunglass,150,0,Food,38,0,0,0,0,791,0,22,0,6.11,1007.11
11/02/2014,lia citizenship,250,0,nill,0,0,0,0,0,0,0,22,0,6.11,278.11
12/02/2014,lia kamij,150,0,nill,0,0,0,0,0,0,0,22,0,6.11,178.11
13/02/2014,me medicine ,52,0,nill,0,0,0,0,0,0,0,22,0,6.11,80.11
14/02/2014,lia perfume,80,0,nill,0,0,0,46,100,0,0,18,0,6.11,250.11
15/02/2014,Bed_side_lamp,0,260,nill,0,0,40,0,0,0,0,0,0,0,300
16/02/2014,office works,0,25,nill,0,0,0,0,0,0,0,0,0,0,25
17/02/2014,nill,0,0,Food,30,0,0,0,0,791,0,22,0,6.11,849.11
18/02/2014,nill,0,0,Telstra,26,0,0,0,0,0,0,22,0,6.11,54.11
19/02/2014,nill,0,0,Lawn Mow,30,0,0,0,0,0,0,20,0,6.11,56.11
20/02/2014,nill,0,0,nill,0,0,0,0,0,0,0,20,0,6.11,26.11
21/02/2014,nill,0,0,nill,0,0,0,54,0,0,106,20,0,6.11,186.11
22/02/2014,nill,0,0,nill,0,0,37,0,0,0,0,0,0,0,37
23/02/2014,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
24/02/2014,nill,0,0,nill,0,0,0,0,17,791,0,20,0,6.11,834.11
25/02/2014,nill,0,0,Home Insurance,72.47,0,0,0,42,0,0,20,0,6.11,140.58
26/02/2014,Holiday,466,0,Internet,99.95,0,0,0,0,0,0,20,0,6.11,592.06
27/02/2014,nill,0,0,Parking Ticket,340,0,0,0,20,0,0,20,0,6.11,386.11
28/02/2014,Lia shopping,50,0,Council Rates,249,0,0,0,0,0,0,0,0,0,299
01/03/2014,nill,0,0,food,12,0,16.5,0,0,0,0,0,0,0,28.5
02/03/2014,nill,0,0,Health Insurance,48.7,0,0,0,29.28,0,0,0,0,0,77.98
03/03/2014,nill,0,0,nill,0,0,0,0,0,791,0,22,0,6.11,819.11
04/03/2014,nill,0,0,food,40,0,0,0,0,0,0,22,0,6.11,68.11
05/03/2014,nill,0,0,nill,0,0,0,0,0,0,116,22,0,6.11,144.11
06/03/2014,Tv,0,1118,Optus,146.46,0,0,0,0,0,0,25,0,6.11,1295.57
07/03/2014,rashed vai gift,96,0,nill,0,120,0,15.4,0,0,0,22,0,6.11,259.51
08/03/2014,Tv mount,0,185,nill,0,0,0,0,90,0,0,0,0,0,275
09/03/2014,Tv Setup,0,200,nill,0,0,30,0,0,0,0,0,0,0,230
10/03/2014,nill,0,0,nill,0,0,0,0,0,791,0,22,0,6.11,819.11
11/03/2014,lia asos,50,0,Water bill,376.1,0,0,0,0,0,0,22,0,6.11,454.21
12/03/2014,nill,0,0,food,24,0,0,0,0,0,0,22,0,6.11,52.11
13/03/2014,nill,0,20,Lawn mow,30,0,0,0,0,0,0,22,0,6.11,78.11
14/03/2014,nill,0,0,nill,0,0,72,0,0,0,0,22,0,6.11,100.11
15/03/2014,lia,23,27,nill,0,0,0,0,0,0,0,0,0,0,50
16/03/2014,nill,0,0,nill,0,0,0,0,15,0,91,0,0,0,50
17/03/2014,nill,0,0,Phone,26,0,0,0,0,791,0,22,0,6.11,845.11
18/03/2014,nill,0,0,nill,0,0,0,0,0,0,0,22,0,6.11,28.11
19/03/2014,Lia tops/shampoo,30,0,nill,0,0,0,0,0,0,0,22,0,6.11,58.11
20/03/2014,me tShirt/Perfume,105,0,nill,0,0,30.05,0,0,0,0,22,0,6.11,163.16
21/03/2014,lia massage,45,0,nill,0,0,0,0,0,0,0,22,0,6.11,73.11
22/03/2014,BD gift,180,0,nill,0,0,37,0,0,0,0,0,0,0,217
